tau0,tau,dx
8.0,56.846495310034136,0.1
8.0,52.425283492921444,0.1
8.0,59.47203260195327,0.1
8.0,67.44667866103914,0.1
8.0,52.22233991216726,0.1
8.0,47.56929498414932,0.1
8.0,45.296105494857336,0.1
8.0,65.38656343822552,0.1
8.0,47.40476174351698,0.1
8.0,54.14771725338538,0.1
3.5992438563327034,18.85968013490999,0.1
3.5992438563327034,32.76850220805317,0.1
3.5992438563327034,21.4203934421498,0.1
3.5992438563327034,25.00773844103018,0.1
3.5992438563327034,21.028363860924607,0.1
3.5992438563327034,21.929766262679284,0.1
3.5992438563327034,19.66162741140439,0.1
3.5992438563327034,38.91693110493759,0.1
3.5992438563327034,20.47922861983728,0.1
3.5992438563327034,31.401925995343483,0.1
2.1875,12.075855495161868,0.1
2.1875,16.80374518361275,0.1
2.1875,15.976304601137084,0.1
2.1875,14.52822190099234,0.1
2.1875,14.152349323839024,0.1
2.1875,13.285207051460592,0.1
2.1875,22.72561532929624,0.1
2.1875,15.349961791730413,0.1
2.1875,18.182074223287195,0.1
2.1875,11.990214178190948,0.1
1.532421177870315,24.226451795447645,0.1
1.532421177870315,13.158450959031788,0.1
1.532421177870315,10.561023651775647,0.1
1.532421177870315,9.547909140758545,0.1
1.532421177870315,14.622271937684587,0.1
1.532421177870315,12.692866330646158,0.1
1.532421177870315,9.728846094441332,0.1
1.532421177870315,10.269728443631271,0.1
1.532421177870315,9.126095853928838,0.1
1.532421177870315,9.771401383425214,0.1
1.1648,11.689915467948373,0.1
1.1648,10.544039062744057,0.1
1.1648,8.717672817779368,0.1
1.1648,8.379967195246047,0.1
1.1648,9.44511427296861,0.1
1.1648,7.882538709718513,0.1
1.1648,8.491225978727446,0.1
1.1648,8.68752899595329,0.1
1.1648,10.189689527480835,0.1
1.1648,8.059232268926463,0.1
0.9330652111462222,6.72400807762876,0.1
0.9330652111462222,6.906846847663232,0.1
0.9330652111462222,9.17795202374585,0.1
0.9330652111462222,6.5230157953574865,0.1
0.9330652111462222,7.748126115088583,0.1
0.9330652111462222,5.917403166476627,0.1
0.9330652111462222,6.317191352012525,0.1
0.9330652111462222,8.781405603342687,0.1
0.9330652111462222,7.2233145822412155,0.1
0.9330652111462222,7.685398086906968,0.1
0.7750865051903115,6.127233850634188,0.1
0.7750865051903115,8.156760148886363,0.1
0.7750865051903115,5.5390303911396686,0.1
0.7750865051903115,6.522038704263593,0.1
0.7750865051903115,5.437448443948639,0.1
0.7750865051903115,5.97987889589505,0.1
0.7750865051903115,6.177464082601153,0.1
0.7750865051903115,5.311047750105028,0.1
0.7750865051903115,4.990526029984264,0.1
0.7750865051903115,5.659804703076474,0.1
0.6611570247933884,4.308138107538563,0.1
0.6611570247933884,4.792225968950151,0.1
0.6611570247933884,5.132090610325073,0.1
0.6611570247933884,4.36002474399888,0.1
0.6611570247933884,6.033031390338619,0.1
0.6611570247933884,6.7546344961786655,0.1
0.6611570247933884,5.042733969460701,0.1
0.6611570247933884,6.287698632269461,0.1
0.6611570247933884,5.603088436809935,0.1
0.6611570247933884,6.450804497557726,0.1
0.5754461871281774,4.745726291732412,0.1
0.5754461871281774,4.496794712574883,0.1
0.5754461871281774,5.008410391065357,0.1
0.5754461871281774,6.089376584101913,0.1
0.5754461871281774,5.262340161778166,0.1
0.5754461871281774,4.21324889453841,0.1
0.5754461871281774,4.430689455270118,0.1
0.5754461871281774,4.565410498857023,0.1
0.5754461871281774,4.185777684195759,0.1
0.5754461871281774,5.098568357789245,0.1
0.5088088642659279,3.5969804988942835,0.1
0.5088088642659279,3.8113399458957704,0.1
0.5088088642659279,4.940391058413935,0.1
0.5088088642659279,4.271523801294155,0.1
0.5088088642659279,3.443208227215092,0.1
0.5088088642659279,4.40282760368386,0.1
0.5088088642659279,4.194249529989931,0.1
0.5088088642659279,6.029763185308601,0.1
0.5088088642659279,5.598665943065527,0.1
0.5088088642659279,3.4452647091770205,0.1
0.4556213017751479,3.187834617209544,0.1
0.4556213017751479,4.360941042761778,0.1
0.4556213017751479,3.7619575371260376,0.1
0.4556213017751479,4.067494788440804,0.1
0.4556213017751479,5.120445296675764,0.1
0.4556213017751479,3.0776126437064657,0.1
0.4556213017751479,6.395396839457498,0.1
0.4556213017751479,3.5762336261273777,0.1
0.4556213017751479,3.823476693585373,0.1
0.4556213017751479,4.1202308395371325,0.1
0.41224841412796615,3.7589404836302642,0.1
0.41224841412796615,3.1117639000045574,0.1
0.41224841412796615,2.883356614717069,0.1
0.41224841412796615,3.8898522798289212,0.1
0.41224841412796615,2.870673617136345,0.1
0.41224841412796615,4.891516151122768,0.1
0.41224841412796615,3.3172336968813174,0.1
0.41224841412796615,3.0805717338246223,0.1
0.41224841412796615,3.8917576190847267,0.1
0.41224841412796615,3.538070149627237,0.1
0.37624294544477294,3.116076999739564,0.1
0.37624294544477294,3.366056473878949,0.1
0.37624294544477294,3.4979938646371878,0.1
0.37624294544477294,3.069230944048049,0.1
0.37624294544477294,3.3814681870014907,0.1
0.37624294544477294,3.1075189597005437,0.1
0.37624294544477294,2.7725015062842595,0.1
0.37624294544477294,2.702948809876151,0.1
0.37624294544477294,3.5994048903223823,0.1
0.37624294544477294,3.0334558413023363,0.1
0.3459005885437911,3.0039052373458954,0.1
0.3459005885437911,2.461007154575001,0.1
0.3459005885437911,2.684326731300102,0.1
0.3459005885437911,2.311651119098783,0.1
0.3459005885437911,2.5761860991718355,0.1
0.3459005885437911,2.5371358290927226,0.1
0.3459005885437911,3.823419123954763,0.1
0.3459005885437911,3.323483317867666,0.1
