time,c_avg,energy
0.0,0.5001937888262672,322.774857259372
0.1,0.5002016424555816,322.73914131959106
0.2,0.5002041886406786,322.73794700868706
0.3,0.5002057023350007,322.7367285581129
0.4,0.5002072984914356,322.73503661587887
0.5,0.5002092264622753,322.7326098134296
0.6,0.5002116188383724,322.7290945574029
0.7,0.5002146174714849,322.72397242584833
0.8,0.5002183962573534,322.71647350692876
0.9,0.5002231703239773,322.7054497554776
1.0,0.5002292056486868,322.68918543070663
1.1,0.5002368311672035,322.66511234937127
1.2,0.5002464536322639,322.6293823006644
1.3,0.5002585752227696,322.5762263594064
1.4,0.5002738136884638,322.49699890894436
1.5,0.5002929242579491,322.37876134667863
1.6,0.5003168213557995,322.2022080941828
1.7,0.5003465959364696,321.9386859251792
1.8,0.5003835202632795,321.5460384116464
1.9,0.5004290252534283,320.9630969586812
2.0,0.5004846249335778,320.1029942469611
2.1,0.5005517476114029,318.84635425303054
2.2,0.5006314170629266,317.0371130714538
2.3,0.5007237239490934,314.48627116768824
2.4,0.5008270810248293,310.9913798762931
2.5,0.5009374454793674,306.3796516871109
2.6,0.5010480327162379,300.57669675291635
2.7,0.5011501702539133,293.6873342185078
2.8,0.5012352007536708,286.0498386077924
2.9,0.5012963541527179,278.2080815668308
3.0,0.5013297920711841,270.77479634251796
3.1,0.5013345843791225,264.2382917256017
3.2,0.5013116506322837,258.82450993512566
3.3,0.5012628055725041,254.49353574792693
3.4,0.5011908222368703,251.04705294825538
3.5,0.5010997780570196,248.25407151810015
3.6,0.5009949036314608,245.92566134936493
3.7,0.5008820338574699,243.93262776579758
3.8,0.5007669063490241,242.19297001068963
3.9,0.5006543986786303,240.6534978258833
4.0,0.5005479220319589,239.27670875844512
4.1,0.5004492518984228,238.0340767765037
4.2,0.5003588275848485,236.90302545947318
4.3,0.5002762663110144,235.86518843468085
4.4,0.5002008025467659,234.905120193658
4.5,0.5001315535589939,234.00944263214924
4.6,0.5000676541934951,233.16644008637965
4.7,0.5000083202909889,232.36596229303208
4.8,0.4999528749875671,231.5994386411075
4.9,0.4999007543485828,230.85986043040498
5.0,0.49985150149598306,230.14167827334427
5.1,0.499804755395607,229.4406271685998
5.2,0.49976023853840296,228.75351839953228
5.3,0.4997177459626634,228.0780364284606
5.4,0.49967713633744015,227.41256438691994
5.5,0.4996383244735497,226.7560452368134
5.6,0.4996012739882979,226.10787396095697
5.7,0.49956598895025894,225.46781082018757
5.8,0.499532503908781,224.83590543272763
5.9,0.4995008724429178,224.21242411910353
6.0,0.4994711549919982,223.59777688558952
6.1,0.4994434071002124,222.99244448741197
6.2,0.49941766926231795,222.39690946477361
6.3,0.49939395932713315,221.8115971480296
6.4,0.499372267993896,221.23683263487388
6.5,0.4993525574491137,220.67281743617693
6.6,0.49933476276071903,220.1196257292215
6.7,0.4993187953612761,219.57721659196358
6.8,0.49930454784345896,219.0454564690905
6.9,0.49929189933485235,218.52414566312007
7.0,0.4992807208595348,218.0130435174456
7.1,0.499270880263978,217.51188881634351
7.2,0.49926224643241013,217.02041426764652
7.3,0.4992546926176079,216.53835589763617
7.4,0.49924809877894283,216.06545904129786
7.5,0.49924235288563634,215.6014823384716
7.6,0.4992373512329184,215.14620035028767
7.7,0.49923299792111675,214.6994047638308
7.8,0.4992292037276635,214.2609039453563
7.9,0.4992258846366723,213.83052079350037
8.0,0.49922296027937885,213.40808920379393
8.1,0.4992203524969151,212.99344976321098
8.2,0.49921798418183144,212.5864454023086
8.3,0.499215778498579,212.18691760037228
8.4,0.499213658530973,211.79470345666593
8.5,0.49921154735663925,211.40963364041286
8.6,0.4992093685036375,211.0315310433091
8.7,0.49920704670456684,210.66020992058563
8.8,0.4992045088339283,210.29547538300818
8.9,0.49920168490188327,209.93712320321453
9.0,0.49919850898519647,209.58493996572736
9.1,0.49919492000183296,209.23870359205262
9.2,0.4991908622717564,208.89818422870619
9.3,0.499186285843312,208.56314543004427
9.4,0.4991811465947979,208.23334553553462
9.5,0.4991754061400903,207.9085391261369
9.6,0.4991690315761212,207.58847846546303
9.7,0.49916199511108045,207.27291485375778
9.8,0.49915427360861214,206.9615998604086
9.9,0.49914584807811735,206.6542864217709
10.0,0.4991367031355955,206.35072981101973
10.1,0.4991268264544568,206.0506884924345
10.2,0.49911620822147784,205.75392487165652
10.3,0.499104840609562,205.4602059475103
10.4,0.49909271727622134,205.16930386259915
10.5,0.4990798328945737,204.88099634156626
10.6,0.49906618272218956,204.59506699863138
10.7,0.49905176221200703,204.31130549121798
10.8,0.4990365666696858,204.02950749183685
10.9,0.4990205909612846,203.7494744514072
11.0,0.4990038292761178,203.47101312835346
11.1,0.4989862749510495,203.1939348633967
11.2,0.49896792036317317,202.91805459423165
11.3,0.49894875690011015,202.64318962247762
11.4,0.4989287750189202,202.36915817329754
11.5,0.4989079644066184,202.09577782153687
11.6,0.49888631425787433,201.8228638914135
11.7,0.49886381368785376,201.55022796522232
11.8,0.49884045230117857,201.27767665244934
11.9,0.49881622093985734,201.00501077546204
12.0,0.4987911126362758,200.73202511766505
12.1,0.49876512379747073,200.45850886861473
12.2,0.49873825564645463,200.1842468873354
12.3,0.49871051594224314,199.9090218976864
12.4,0.4986819209915006,199.63261772702484
12.5,0.4986524979494256,199.35482369668722
12.6,0.4986222873834419,199.07544026082226
12.7,0.4985913460377705,198.7942859572449
12.8,0.49855974968875433,198.5112056619707
12.9,0.49852759591623635,198.2260800187797
13.0,0.4984950065385036,197.9388357233966
13.1,0.49846212936833817,197.64945607766523
13.2,0.4984291388558403,197.3579908947059
