tau0,tau
8.0,62.08
8.0,54.79
8.0,55.61
8.0,57.39
8.0,84.66
8.0,57.31
8.0,51.72
8.0,80.41
8.0,76.37
8.0,58.26
3.5992438563327034,26.330000000000002
3.5992438563327034,22.46
3.5992438563327034,22.080000000000002
3.5992438563327034,28.330000000000002
3.5992438563327034,22.31
3.5992438563327034,19.56
3.5992438563327034,25.78
3.5992438563327034,23.37
3.5992438563327034,19.43
3.5992438563327034,30.69
2.1875,15.67
2.1875,13.85
2.1875,15.1
2.1875,14.92
2.1875,14.67
2.1875,14.55
2.1875,14.58
2.1875,15.51
2.1875,13.200000000000001
2.1875,15.09
1.532421177870315,11.51
1.532421177870315,10.42
1.532421177870315,14.620000000000001
1.532421177870315,10.290000000000001
1.532421177870315,11.94
1.532421177870315,9.74
1.532421177870315,9.870000000000001
1.532421177870315,11.52
1.532421177870315,10.51
1.532421177870315,10.16
1.1648,11.09
1.1648,8.53
1.1648,6.98
1.1648,8.47
1.1648,11.18
1.1648,10.47
1.1648,7.46
1.1648,8.81
1.1648,10.93
1.1648,9.98
0.9330652111462222,7.28
0.9330652111462222,10.63
0.9330652111462222,9.58
0.9330652111462222,6.5
0.9330652111462222,9.06
0.9330652111462222,5.83
0.9330652111462222,9.84
0.9330652111462222,7.2700000000000005
0.9330652111462222,8.02
0.9330652111462222,6.11
0.7750865051903115,6.47
0.7750865051903115,6.65
0.7750865051903115,5.93
0.7750865051903115,7.47
0.7750865051903115,5.16
0.7750865051903115,5.72
0.7750865051903115,5.37
0.7750865051903115,5.33
0.7750865051903115,6.44
0.7750865051903115,5.19
0.6611570247933884,4.64
0.6611570247933884,6.8500000000000005
0.6611570247933884,4.84
0.6611570247933884,5.51
0.6611570247933884,6.07
0.6611570247933884,5.45
0.6611570247933884,4.88
0.6611570247933884,5.29
0.6611570247933884,5.48
0.6611570247933884,5.39
0.5754461871281774,6.04
0.5754461871281774,4.8
0.5754461871281774,4.39
0.5754461871281774,5.51
0.5754461871281774,4.41
0.5754461871281774,5.18
0.5754461871281774,5.01
0.5754461871281774,5.5200000000000005
0.5754461871281774,5.15
0.5754461871281774,5.64
0.5088088642659279,4.4
0.5088088642659279,4.08
0.5088088642659279,3.87
0.5088088642659279,4.64
0.5088088642659279,3.94
0.5088088642659279,3.39
0.5088088642659279,4.05
0.5088088642659279,3.97
0.5088088642659279,4.5600000000000005
0.5088088642659279,4.3100000000000005
0.4556213017751479,5.67
0.4556213017751479,5.26
0.4556213017751479,3.6
0.4556213017751479,4.42
0.4556213017751479,3.71
0.4556213017751479,4.5
0.4556213017751479,3.29
0.4556213017751479,3.2600000000000002
0.4556213017751479,3.84
0.4556213017751479,3.86
0.41224841412796615,3.34
0.41224841412796615,4.73
0.41224841412796615,3.5100000000000002
0.41224841412796615,3.8000000000000003
0.41224841412796615,3.25
0.41224841412796615,3.61
0.41224841412796615,3.0300000000000002
0.41224841412796615,3.21
0.41224841412796615,3.31
0.41224841412796615,3.3200000000000003
0.37624294544477294,4.98
0.37624294544477294,4.3100000000000005
0.37624294544477294,3.88
0.37624294544477294,3.71
0.37624294544477294,2.99
0.37624294544477294,4.79
0.37624294544477294,2.86
0.37624294544477294,4.55
0.37624294544477294,2.62
0.37624294544477294,4.91
0.3459005885437911,2.95
0.3459005885437911,2.86
0.3459005885437911,2.58
0.3459005885437911,2.5300000000000002
0.3459005885437911,3.52
0.3459005885437911,3.3000000000000003
0.3459005885437911,2.93
0.3459005885437911,2.61
0.3459005885437911,3.2
0.3459005885437911,3.0500000000000003
0.32,2.62
0.32,2.46
0.32,2.59
0.32,3.17
0.32,3.17
0.32,3.0
0.32,2.66
0.32,2.47
0.32,3.42
0.32,2.5100000000000002
