chi,dx,min_dt
27.0,0.1,3.991097798580082e-10
27.0,0.16,8.881784197001252e-16
27.0,0.2,7.345398256109546e-9
28.0,0.02,8.881784197001252e-16
28.0,0.025,1.7763568394002505e-15
28.0,0.04,1.7763568394002505e-15
28.0,0.05,3.552713678800501e-15
28.0,0.08,1.4484180965503514e-10
28.0,0.16,3.552713678800501e-15
28.0,0.2,4.839672973424057e-9
29.0,0.02,8.881784197001252e-16
29.0,0.025,8.881784197001252e-16
29.0,0.04,1.7763568394002505e-15
29.0,0.05,1.7763568394002505e-15
29.0,0.1,8.881784197001252e-16
29.0,0.16,8.881784197001252e-16
30.0,0.02,8.881784197001252e-16
30.0,0.025,2.220446049250313e-16
30.0,0.04,1.7763568394002505e-15
30.0,0.05,1.7763568394002505e-15
30.0,0.1,8.881784197001252e-16
30.0,0.16,8.881784197001252e-16
30.0,0.2,5.5765048226291356e-9
