tau0,tau
8.0,54.800000000000004
8.0,69.60000000000001
8.0,67.0
8.0,70.0
8.0,57.800000000000004
8.0,62.900000000000006
8.0,62.2
8.0,75.10000000000001
8.0,65.3
8.0,66.60000000000001
3.5992438563327034,34.6
3.5992438563327034,29.900000000000002
3.5992438563327034,25.6
3.5992438563327034,24.1
3.5992438563327034,23.8
3.5992438563327034,27.8
3.5992438563327034,23.400000000000002
3.5992438563327034,26.6
3.5992438563327034,25.8
3.5992438563327034,26.700000000000003
2.1875,17.8
2.1875,17.400000000000002
2.1875,14.200000000000001
2.1875,19.200000000000003
2.1875,15.0
2.1875,16.0
2.1875,22.3
2.1875,14.5
2.1875,17.3
2.1875,15.8
1.532421177870315,12.3
1.532421177870315,13.200000000000001
1.532421177870315,13.9
1.532421177870315,14.4
1.532421177870315,12.600000000000001
1.532421177870315,15.0
1.532421177870315,11.9
1.532421177870315,13.3
1.532421177870315,11.3
1.532421177870315,11.4
1.1648,8.9
1.1648,11.8
1.1648,8.4
1.1648,9.3
1.1648,8.3
1.1648,7.7
1.1648,9.5
1.1648,10.200000000000001
1.1648,9.700000000000001
1.1648,9.600000000000001
0.9330652111462222,6.5
0.9330652111462222,7.1000000000000005
0.9330652111462222,6.4
0.9330652111462222,7.4
0.9330652111462222,6.4
0.9330652111462222,6.6000000000000005
0.9330652111462222,8.8
0.9330652111462222,9.3
0.9330652111462222,7.300000000000001
0.9330652111462222,6.6000000000000005
0.7750865051903115,5.7
0.7750865051903115,5.7
0.7750865051903115,5.2
0.7750865051903115,5.0
0.7750865051903115,7.800000000000001
0.7750865051903115,5.9
0.7750865051903115,6.0
0.7750865051903115,7.4
0.7750865051903115,6.800000000000001
0.7750865051903115,7.7
0.6611570247933884,5.7
0.6611570247933884,6.300000000000001
0.6611570247933884,4.9
0.6611570247933884,6.1000000000000005
0.6611570247933884,6.4
0.6611570247933884,5.4
0.6611570247933884,6.2
0.6611570247933884,4.6000000000000005
0.6611570247933884,5.1000000000000005
0.6611570247933884,6.2
0.5754461871281774,4.4
0.5754461871281774,4.0
0.5754461871281774,4.800000000000001
0.5754461871281774,5.4
0.5754461871281774,4.7
0.5754461871281774,4.6000000000000005
0.5754461871281774,4.6000000000000005
0.5754461871281774,6.4
0.5754461871281774,5.0
0.5754461871281774,5.800000000000001
0.5088088642659279,4.0
0.5088088642659279,4.5
0.5088088642659279,7.2
0.5088088642659279,4.4
0.5088088642659279,4.0
0.5088088642659279,4.2
0.5088088642659279,4.3
0.5088088642659279,5.0
0.5088088642659279,4.9
0.5088088642659279,4.2
0.4556213017751479,4.5
0.4556213017751479,4.1000000000000005
0.4556213017751479,4.0
0.4556213017751479,6.800000000000001
0.4556213017751479,4.0
0.4556213017751479,3.8000000000000003
0.4556213017751479,3.3000000000000003
0.4556213017751479,4.1000000000000005
0.4556213017751479,3.6
0.4556213017751479,3.9000000000000004
0.41224841412796615,4.3
0.41224841412796615,3.1
0.41224841412796615,4.0
0.41224841412796615,3.1
0.41224841412796615,3.3000000000000003
0.41224841412796615,3.2
0.41224841412796615,4.0
0.41224841412796615,3.4000000000000004
0.41224841412796615,3.2
0.41224841412796615,3.1
0.37624294544477294,3.5
0.37624294544477294,3.5
0.37624294544477294,3.1
0.37624294544477294,3.7
0.37624294544477294,3.5
0.37624294544477294,2.8000000000000003
0.37624294544477294,3.2
0.37624294544477294,3.5
0.37624294544477294,3.2
0.37624294544477294,3.2
0.3459005885437911,3.1
0.3459005885437911,2.5
0.3459005885437911,2.8000000000000003
0.3459005885437911,2.9000000000000004
0.3459005885437911,3.0
0.3459005885437911,3.0
0.3459005885437911,2.9000000000000004
0.3459005885437911,3.0
0.3459005885437911,2.8000000000000003
0.3459005885437911,2.8000000000000003
0.32,2.3000000000000003
0.32,2.3000000000000003
0.32,2.7
0.32,2.8000000000000003
0.32,2.6
0.32,2.4000000000000004
0.32,3.8000000000000003
0.32,2.4000000000000004
0.32,2.5
0.32,2.5
