chi,dx,min_dt
6.0,0.4,1.23e-7
7.0,0.4,1.09e-7
8.0,0.4,9.53e-8
6.0,0.25,1.87e-8
7.0,0.25,1.63e-8
8.0,0.25,1.43e-8
9.0,0.25,1.24e-8
9.0,0.4,8.45e-8
10.0,0.25,1.12e-8
10.0,0.4,7.65e-8
11.0,0.25,1.02e-8
11.0,0.4,6.83e-8
12.0,0.25,9.16e-9
12.0,0.4,6.46e-8
6.0,0.5,3.14e-7
7.0,0.5,2.76e-7
8.0,0.5,2.41e-7
9.0,0.5,2.03e-7
10.0,0.5,1.85e-7
11.0,0.5,1.79e-7
12.0,0.5,1.63e-7
13.0,0.25,8.45e-9
13.0,0.4,5.87e-8
13.0,0.5,1.52e-7
14.0,0.25,7.93e-9
14.0,0.4,5.49e-8
14.0,0.5,1.38e-7
15.0,0.25,7.56e-9
15.0,0.4,5.08e-8
15.0,0.5,1.36e-7
6.0,0.2,7.56e-9
7.0,0.2,6.68e-9
8.0,0.2,5.62e-9
9.0,0.2,5.08e-9
10.0,0.2,4.6e-9
11.0,0.2,4.16e-9
12.0,0.2,3.79e-9
13.0,0.2,3.51e-9
14.0,0.2,3.25e-9
15.0,0.2,3.04e-9
4.0,0.2,1.14e-8
4.0,0.25,2.82e-8
4.0,0.4,1.86e-7
4.0,0.5,4.72e-7
5.0,0.2,9.22e-9
5.0,0.25,2.22e-8
5.0,0.4,1.49e-7
5.0,0.5,3.7e-7
4.0,0.1,7.04e-10
5.0,0.1,5.71e-10
6.0,0.1,4.71e-10
7.0,0.1,4.03e-10
8.0,0.1,3.56e-10
9.0,0.1,3.13e-10
10.0,0.1,2.83e-10
11.0,0.1,2.57e-10
12.0,0.1,2.34e-10
13.0,0.1,2.18e-10
14.0,0.1,2.02e-10
15.0,0.1,1.9e-10
16.0,0.2,2.88e-9
16.0,0.25,6.95e-9
16.0,0.4,4.83e-8
16.0,0.5,1.18e-7
4.0,0.16,4.64e-9
5.0,0.16,3.73e-9
6.0,0.16,3.09e-9
7.0,0.16,2.66e-9
8.0,0.16,2.34e-9
9.0,0.16,2.08e-9
10.0,0.16,1.86e-9
11.0,0.16,1.71e-9
12.0,0.16,1.55e-9
13.0,0.16,1.42e-9
14.0,0.16,1.32e-9
15.0,0.16,1.24e-9
16.0,0.16,1.18e-9
16.0,0.1,NaN
4.0,0.8,3.32e-6
5.0,0.8,2.67e-6
6.0,0.8,2.22e-6
7.0,0.8,2.02e-6
8.0,0.8,1.85e-6
9.0,0.8,1.56e-6
10.0,0.8,1.43e-6
11.0,0.8,1.32e-6
12.0,0.8,1.23e-6
13.0,0.8,1.11e-6
14.0,0.8,1.09e-6
15.0,0.8,1.02e-6
16.0,0.8,9.4e-7
17.0,0.16,NaN
17.0,0.2,NaN
17.0,0.25,NaN
17.0,0.4,4.47e-8
17.0,0.5,1.12e-7
17.0,0.8,8.84e-7
17.0,0.1,NaN
4.0,0.08,2.9e-10
5.0,0.08,2.31e-10
6.0,0.08,1.93e-10
7.0,0.08,1.66e-10
8.0,0.08,1.46e-10
9.0,0.08,1.29e-10
10.0,0.08,1.16e-10
11.0,0.08,1.06e-10
12.0,0.08,9.67e-11
13.0,0.08,8.97e-11
14.0,0.08,8.26e-11
15.0,0.08,7.72e-11
16.0,0.08,NaN
17.0,0.08,NaN
18.0,0.1,NaN
18.0,0.16,NaN
18.0,0.2,NaN
18.0,0.25,NaN
18.0,0.4,1.05e-8
18.0,0.5,1.08e-7
18.0,0.8,8.71e-7
19.0,0.8,7.69e-7
19.0,0.1,NaN
19.0,0.16,NaN
19.0,0.2,NaN
19.0,0.25,NaN
19.0,0.4,NaN
20.0,0.1,NaN
20.0,0.16,NaN
20.0,0.2,NaN
20.0,0.25,NaN
20.0,0.4,NaN
20.0,0.8,7.25e-7
19.0,0.5,NaN
20.0,0.5,NaN
