chi,dx,min_dt
6.0,0.05,8.61e-11
6.0,0.08,6.17e-10
6.0,0.1,1.6e-9
6.0,0.16,1.0e-8
6.0,0.2,2.84e-8
7.0,0.05,8.21e-11
7.0,0.08,5.41e-10
7.0,0.1,1.29e-9
7.0,0.16,9.07e-9
7.0,0.2,3.11e-8
8.0,0.05,7.5e-11
8.0,0.08,4.68e-10
8.0,0.1,1.3e-9
8.0,0.16,6.47e-9
8.0,0.2,1.93e-8
9.0,0.05,6.35e-11
9.0,0.08,4.49e-10
9.0,0.1,1.05e-9
9.0,0.16,6.18e-9
9.0,0.2,1.92e-8
10.0,0.05,5.78e-11
10.0,0.08,4.17e-10
10.0,0.1,9.44e-10
10.0,0.16,7.59e-9
10.0,0.2,1.36e-8
6.0,0.02,2.5e-12
6.0,0.025,5.58e-12
6.0,0.04,3.74e-11
7.0,0.02,2.0e-12
7.0,0.025,4.9e-12
7.0,0.04,3.56e-11
8.0,0.02,1.91e-12
8.0,0.025,4.06e-12
8.0,0.04,2.97e-11
9.0,0.02,1.53e-12
9.0,0.025,3.82e-12
9.0,0.04,2.56e-11
10.0,0.02,1.46e-12
10.0,0.025,3.56e-12
10.0,0.04,2.05e-11
11.0,0.02,1.27e-12
11.0,0.025,3.19e-12
11.0,0.04,2.13e-11
11.0,0.05,4.93e-11
11.0,0.08,3.11e-10
11.0,0.1,7.8e-10
11.0,0.16,5.49e-9
11.0,0.2,1.31e-8
12.0,0.02,1.24e-12
12.0,0.025,2.77e-12
12.0,0.04,1.94e-11
12.0,0.05,4.72e-11
12.0,0.08,2.99e-10
12.0,0.1,6.62e-10
12.0,0.16,5.22e-9
12.0,0.2,1.23e-8
13.0,0.02,1.22e-12
13.0,0.025,2.72e-12
13.0,0.04,1.58e-11
13.0,0.05,4.43e-11
13.0,0.08,2.84e-10
13.0,0.1,7.18e-10
13.0,0.16,5.01e-9
13.0,0.2,9.81e-9
14.0,0.02,1.03e-12
14.0,0.025,2.71e-12
14.0,0.04,1.56e-11
14.0,0.05,4.14e-11
14.0,0.08,2.61e-10
14.0,0.1,6.12e-10
14.0,0.16,4.75e-9
14.0,0.2,8.64e-9
15.0,0.02,1.02e-12
15.0,0.025,2.3e-12
15.0,0.04,1.46e-11
15.0,0.05,3.73e-11
15.0,0.08,2.64e-10
15.0,0.1,7.09e-10
15.0,0.16,3.8e-9
15.0,0.2,1.27e-8
16.0,0.02,8.23e-13
16.0,0.025,2.09e-12
16.0,0.04,1.35e-11
16.0,0.05,3.62e-11
16.0,0.08,2.37e-10
16.0,0.1,6.46e-10
16.0,0.2,9.09e-9
17.0,0.02,8.44e-13
17.0,0.025,2.11e-12
17.0,0.04,1.32e-11
17.0,0.05,2.86e-11
17.0,0.08,2.17e-10
17.0,0.1,5.89e-10
17.0,0.2,8.43e-9
18.0,0.025,1.88e-12
16.0,0.16,3.56e-9
17.0,0.16,3.84e-9
18.0,0.05,3.02e-11
18.0,0.08,2.3e-10
18.0,0.02,8.09e-13
18.0,0.04,1.17e-11
25.0,0.025,1.4207845310488228e-12
