time,c_avg,energy
0.0,0.49999304698176755,324.0189471608563
0.025,0.499996767630648,322.7413787601401
0.05,0.49999664083137796,322.7411149870026
0.075,0.49999654856616277,322.7410604319909
0.1,0.4999964995341208,322.7410344295401
0.125,0.49999647778071665,322.7410167956121
0.15,0.499996473297242,322.74100218792006
0.175,0.4999964801300763,322.74098861327457
0.2,0.4999964946701886,322.74097515223315
0.225,0.4999965146735234,322.7409613042585
0.25,0.49999653871491523,322.7409467524244
0.275,0.4999965658778247,322.74093126541715
0.3,0.4999965955719504,322.74091465212587
0.325,0.4999966274218161,322.74089673869514
0.35,0.4999966611962128,322.7408773559446
0.375,0.4999966967621575,322.7408563318528
0.4,0.49999673405417006,322.7408334866098
0.425,0.4999967730534618,322.74080862900405
0.45,0.49999681377371996,322.74078155349304
0.475,0.4999968562513683,322.74075203760873
0.5,0.4999969005389084,322.740719839485
0.525,0.49999694670039296,322.7406846953883
0.55,0.49999699480839266,322.7406463171598
0.575,0.4999970449419988,322.7406043895132
0.6,0.49999709718555013,322.7405585671393
0.625,0.4999971516278628,322.74050847157366
0.65,0.4999972083618092,322.7404536877911
0.675,0.49999726748413875,322.74039376048853
0.7,0.4999973290954613,322.7403281900167
0.725,0.49999739330034393,322.7402564279206
0.75,0.49999746020748326,322.7401778720487
0.775,0.49999752992992874,322.7400918611789
0.8,0.4999976025853409,322.7399976691155
0.825,0.499997678296273,322.7398944982011
0.85,0.49999775719046946,322.73978147218276
0.875,0.49999783940117615,322.73965762836434
0.9,0.4999979250674608,322.7395219089794
0.925,0.49999801433454316,322.7393731516952
0.95,0.49999810735413097,322.73921007917255
0.975,0.499998204284768,322.7390312875712
1.0,0.49999830529218964,322.7388352339074
1.025,0.49999841054968897,322.7386202221391
1.05,0.4999985202384952,322.7383843878558
1.075,0.4999986345481649,322.7381256814274
1.1,0.49999875367698554,322.7378418494563
1.125,0.4999988778323961,322.7375304143692
1.15,0.4999990072314232,322.73718865194945
1.175,0.49999914210113505,322.73681356660984
1.2,0.4999992826791132,322.7364018641731
1.225,0.49999942921394736,322.7359499219113
1.25,0.49999958196574823,322.73545375556637
1.275,0.49999974120668506,322.7349089830455
1.3,0.4999999072215473,322.73431078445475
1.325,0.500000080308331,322.73365385810587
1.35,0.5000002607788514,322.732932372084
1.375,0.5000004489593854,322.73213991092894
1.4,0.5000006451913415,322.7312694169433
1.425,0.500000849831962,322.73031312557345
1.45,0.5000010632550572,322.7292624942784
1.475,0.5000012858517735,322.728108124218
1.5,0.5000015180313974,322.72683967404714
1.525,0.5000017602221963,322.72544576501696
1.55,0.5000020128722988,322.72391387650356
1.575,0.5000022764506145,322.7222302310132
1.6,0.5000025514477971,322.7203796675964
1.625,0.5000028383772528,322.7183455025165
1.65,0.5000031377761921,322.71610937589037
1.675,0.5000034502067333,322.7136510829031
1.7,0.500003776257053,322.71094838805317
1.725,0.5000041165425916,322.70797682074067
1.75,0.5000044717073119,322.7047094503429
1.775,0.5000048424250154,322.70111663873865
1.8,0.5000052294007168,322.69716576805894
1.825,0.5000056333720811,322.69282094121604
1.85,0.5000060551109241,322.6880426525374
1.875,0.5000064954247788,322.68278742558
1.9,0.5000069551585324,322.6770074149245
1.925,0.5000074351961339,322.67064996845914
1.95,0.5000079364623757,322.66365714633935
1.975,0.5000084599247532,322.65596519247333
2.0,0.5000090065954035,322.64750395400876
2.025,0.5000095775331282,322.63819624391465
2.05,0.5000101738454996,322.627957141321
2.075,0.5000107966910573,322.6166932238498
2.1,0.5000114472815959,322.6043017256908
2.125,0.5000121268845464,322.5906696146999
2.15,0.5000128368254565,322.5756725812863
2.175,0.5000135784905708,322.5591739313285
2.2,0.5000143533295156,322.54102337484
2.225,0.5000151628580899,322.5210557015722
2.25,0.500016008661167,322.4990893342331
2.275,0.5000168923957115,322.4749247495003
2.3,0.5000178157939095,322.44834275657325
2.325,0.500018780666423,322.4191026226286
2.35,0.5000197889057652,322.3869400342668
2.375,0.5000208424898033,322.35156488388145
2.4,0.5000219434853919,322.31265886993054
2.425,0.5000230940521375,322.26987290033304
2.45,0.5000242964463004,322.2228242887827
2.475,0.5000255530248323,322.17109373468924
2.5,0.5000268662495531,322.1142220788755
2.525,0.500028238691466,322.051706829104
2.55,0.5000296730352094,321.9829984522203
2.575,0.500031172083641,321.9074964332131
2.6,0.5000327387625437,321.8245451060829
2.625,0.5000343761254435,321.7334292672034
2.65,0.5000360873585156,321.6333695891203
2.675,0.5000378757855479,321.52351786168714
2.7,0.5000397448729191,321.402952098368
2.725,0.5000416982345265,321.27067155872265
2.75,0.5000437396365771,321.12559175380017
2.775,0.5000458730021219,320.9665395197594
2.8,0.5000481024151697,320.79224826665086
2.825,0.5000504321241649,320.6013535342741
2.85,0.5000528665445332,320.39238901537226
2.875,0.5000554102599183,320.16378323818975
2.9,0.500058068021605,319.9138571353575
2.925,0.5000608447454836,319.64082276366565
2.95,0.500063745505723,319.34278347876176
2.975,0.5000667755241014,319.0177359087557
3.0,0.500069940153668,318.6635741093848
3.025,0.500073244855098,318.27809631813244
3.05,0.5000766951637309,317.85901475233885
3.075,0.5000802966448803,317.4039689127389
3.1,0.5000840548345714,316.91054285420427
3.125,0.5000879751624351,316.3762868641844
3.15,0.5000920628531323,315.79874394059283
3.175,0.5000963228024587,315.1754813786596
3.2,0.5001007594243403,314.5041276554797
3.225,0.5001053764654311,313.78241463790425
3.25,0.5001101767852149,313.0082249330159
3.275,0.5001151621016808,312.17964395343546
3.3,0.500120332706113,311.2950159893608
3.325,0.5001256871555999,310.3530032780445
3.35,0.5001312219586264,309.35264675632897
3.375,0.5001369312772572,308.2934268926412
3.4,0.5001428066778235,307.17532274095066
3.425,0.5001488369684247,305.99886715556767
3.45,0.5001550081623597,304.7651959598406
3.475,0.5001613035975639,303.47608877408464
3.5,0.5001677042202672,302.1339991760512
3.525,0.5001741890078372,300.7420718955371
3.55,0.5001807354694573,299.30414485228
3.575,0.5001873201380499,297.82473406670476
3.6,0.5001939189659772,296.3089998446654
3.625,0.5002005075643445,294.762693190133
3.65,0.5002070612716264,293.19208214768065
3.675,0.5002135550843922,291.60385871412177
3.7,0.5002199635156678,290.0050280564198
3.725,0.5002262604582675,288.4027829673662
3.75,0.5002324191233264,286.8043676741341
3.775,0.5002384121048563,285.21693614213007
3.8,0.5002442115967632,283.64741072860346
3.825,0.5002497897652654,282.10234730479857
3.85,0.5002551192609499,280.5878127160336
3.875,0.5002601738425668,279.1092797081169
3.9,0.5002649290783772,277.6715433230041
3.925,0.5002693630874218,276.2786614153294
3.95,0.5002734572786356,274.93392052600984
3.975,0.5002771970387271,273.63982698840607
4.0,0.5002805723130344,272.3981218945958
4.025,0.5002835780233323,271.2098174303818
4.05,0.5002862142778693,270.0752511147027
4.075,0.5002884863514976,268.99415370700785
4.1,0.5002904044415781,267.9657260721644
4.125,0.5002919832299006,266.98872022255495
4.15,0.5002932412957488,266.06152014885697
4.175,0.5002942004287754,265.1822188645771
4.2,0.5002948848852247,264.34868917376184
4.225,0.5002953206220802,263.55864680205167
4.25,0.500295534535313,262.809705486479
4.275,0.5002955537230275,262.09942425875295
4.3,0.5002954047923169,261.4253474633249
4.325,0.5002951132289534,260.7850381170025
4.35,0.5002947028498927,260.1761051816407
4.375,0.5002941953582445,259.5962253032067
4.4,0.5002936100175057,259.0431596178789
4.425,0.5002929634558998,258.51476631489334
4.45,0.5002922696028161,258.00900971389757
4.475,0.5002915397488378,257.5239666055875
4.5,0.5002907827105668,257.05783049998024
4.525,0.5002900050735799,256.60891425064665
4.55,0.5002892114830915,256.17565132489244
4.575,0.5002884049528717,255.75659582044614
4.6,0.5002875871679543,255.35042122353954
4.625,0.5002867587639435,254.95591787261316
4.65,0.5002859195732902,254.57198912614012
4.675,0.5002850688351892,254.1976463084927
4.7,0.5002842053700048,253.83200259610555
4.725,0.500283327721425,253.4742660822283
4.75,0.5002824342703641,253.1237323054305
4.775,0.5002815233246212,252.77977653806408
4.8,0.5002805931879323,252.441846108776
4.825,0.5002796422116385,252.109452986934
4.85,0.5002786688318164,251.7821667980445
4.875,0.5002776715944279,251.45960837878675
4.9,0.5002766491707757,251.14144392615938
4.925,0.5002756003653054,250.82737975192072
4.95,0.500274524117542,250.51715762241412
4.975,0.5002734194996827,250.21055064401838
5.0,0.5002722857111209,249.90735964389356
5.025,0.5002711220709259,249.60740999186473
5.05,0.5002699280090871,249.3105488100068
5.075,0.5002687030571319,249.01664251986958
5.1,0.5002674468385658,248.72557468203073
5.125,0.5002661590594437,248.43724408785232
5.15,0.5002648394992766,248.15156306847098
5.175,0.5002634880023931,247.8684559908033
5.2,0.5002621044698168,247.58785791467085
5.225,0.5002606888516774,247.30971338893283
5.25,0.5002592411401448,247.03397536784877
5.275,0.5002577613628628,246.7606042317785
5.3,0.5002562495768489,246.48956689886705
5.325,0.5002547058628263,246.22083601654475
5.35,0.5002531303199549,245.9543892236057
5.375,0.5002515230609357,245.69020847529302
5.4,0.5002498842074635,245.42827942526336
5.425,0.5002482138860125,245.16859085954226
5.45,0.5002465122239408,244.91113417861519
5.475,0.5002447793459078,244.6559029246592
5.5,0.5002430153705988,244.40289235157866
5.525,0.5002412204077553,244.1520990360222
5.55,0.5002393945555141,243.9035205278776
5.575,0.5002375378980568,243.6571550389368
5.6,0.5002356505035719,243.4130011684665
5.625,0.5002337324225401,243.17105766434946
5.65,0.5002317836863396,242.9313232182974
5.675,0.5002298043061846,242.6937962933957
5.7,0.5002277942723957,242.45847498196835
5.725,0.5002257535540086,242.22535689145195
5.75,0.5002236820987207,241.99443905570365
5.775,0.5002215798331802,241.765717868927
5.8,0.5002194466636096,241.53918903924762
5.825,0.5002172824767657,241.31484755888943
5.85,0.5002150871412232,241.09268768792586
5.875,0.500212860508974,240.87270294869398
