tau0,tau
8.0,59.730000000000004
8.0,58.22
8.0,48.96
8.0,66.82000000000001
8.0,55.97
8.0,55.57
8.0,46.68
8.0,66.66
8.0,47.800000000000004
8.0,53.65
3.5992438563327034,18.62
3.5992438563327034,24.03
3.5992438563327034,20.48
3.5992438563327034,26.54
3.5992438563327034,19.62
3.5992438563327034,20.150000000000002
3.5992438563327034,27.330000000000002
3.5992438563327034,21.740000000000002
3.5992438563327034,26.91
3.5992438563327034,20.85
2.1875,17.05
2.1875,19.93
2.1875,15.21
2.1875,13.85
2.1875,19.42
2.1875,25.55
2.1875,11.96
2.1875,11.72
2.1875,14.36
2.1875,26.29
1.532421177870315,16.29
1.532421177870315,11.58
1.532421177870315,11.89
1.532421177870315,10.370000000000001
1.532421177870315,10.700000000000001
1.532421177870315,15.75
1.532421177870315,12.48
1.532421177870315,11.68
1.532421177870315,9.6
1.532421177870315,10.71
1.1648,8.15
1.1648,6.91
1.1648,7.46
1.1648,8.77
1.1648,10.31
1.1648,7.95
1.1648,6.49
1.1648,9.67
1.1648,8.73
1.1648,7.3
0.9330652111462222,5.82
0.9330652111462222,6.57
0.9330652111462222,6.12
0.9330652111462222,8.88
0.9330652111462222,5.4
0.9330652111462222,9.69
0.9330652111462222,7.08
0.9330652111462222,8.65
0.9330652111462222,6.63
0.9330652111462222,6.62
0.7750865051903115,6.42
0.7750865051903115,4.92
0.7750865051903115,5.3
0.7750865051903115,5.69
0.7750865051903115,5.44
0.7750865051903115,5.0200000000000005
0.7750865051903115,5.61
0.7750865051903115,4.78
0.7750865051903115,4.98
0.7750865051903115,6.04
0.6611570247933884,4.3500000000000005
0.6611570247933884,4.53
0.6611570247933884,7.46
0.6611570247933884,5.46
0.6611570247933884,4.22
0.6611570247933884,4.28
0.6611570247933884,5.54
0.6611570247933884,4.94
0.6611570247933884,5.79
0.6611570247933884,5.04
0.5754461871281774,4.42
0.5754461871281774,3.96
0.5754461871281774,3.5500000000000003
0.5754461871281774,4.44
0.5754461871281774,4.63
0.5754461871281774,4.82
0.5754461871281774,4.49
0.5754461871281774,4.2
0.5754461871281774,7.15
0.5754461871281774,4.75
0.5088088642659279,4.5600000000000005
0.5088088642659279,3.52
0.5088088642659279,3.68
0.5088088642659279,5.05
0.5088088642659279,3.5500000000000003
0.5088088642659279,4.2
0.5088088642659279,4.05
0.5088088642659279,3.71
0.5088088642659279,3.3200000000000003
0.5088088642659279,3.41
0.4556213017751479,3.38
0.4556213017751479,3.33
0.4556213017751479,3.33
0.4556213017751479,5.07
0.4556213017751479,4.38
0.4556213017751479,3.35
0.4556213017751479,3.19
0.4556213017751479,3.64
0.4556213017751479,4.33
0.4556213017751479,3.12
0.41224841412796615,2.63
0.41224841412796615,2.97
0.41224841412796615,3.09
0.41224841412796615,3.64
0.41224841412796615,3.48
0.41224841412796615,3.4
0.41224841412796615,2.8000000000000003
0.41224841412796615,3.48
0.41224841412796615,2.56
0.41224841412796615,2.74
0.37624294544477294,2.63
0.37624294544477294,2.42
0.37624294544477294,4.46
0.37624294544477294,2.82
0.37624294544477294,2.5500000000000003
0.37624294544477294,2.5
0.37624294544477294,2.77
0.37624294544477294,3.21
0.37624294544477294,2.69
0.37624294544477294,2.83
0.3459005885437911,2.89
0.3459005885437911,3.09
0.3459005885437911,2.23
0.3459005885437911,2.43
0.3459005885437911,3.04
0.3459005885437911,3.22
0.3459005885437911,2.32
0.3459005885437911,2.31
0.3459005885437911,3.04
0.3459005885437911,2.86
0.32,3.66
0.32,2.61
0.32,2.25
0.32,2.67
0.32,2.38
0.32,2.73
0.32,2.35
0.32,2.47
0.32,2.6
0.32,2.95
