phi,chi_c_over_chi
1.0e-6,3.999996e-6
0.001001998998998999,0.004003979988020016
0.002002997997997998,0.007995943988072055
0.003003996996996997,0.011979891996156122
0.004004995995995996,0.015955824012272208
0.005005994994994995,0.01992374003642032
0.006006993993993994,0.02388364006860046
0.007007992992992993,0.027835524108812616
0.008008991991991992,0.0317793921570568
0.009009990990990991,0.03571524421333301
0.01001098998998999,0.03964308027764125
0.011011988988988988,0.0435629003499815
0.012012987987987988,0.04747470443035377
0.013013986986986987,0.051378492518758076
0.014014985985985986,0.05527426461519442
0.015015984984984986,0.05916202071966276
0.016016983983983983,0.06304176083216313
0.017017982982982984,0.06691348495269554
0.01801898198198198,0.07077719308125996
0.01901998098098098,0.0746328852178564
0.02002097997997998,0.07848056136248488
0.021021978978978978,0.08232022151514538
0.02202297797797798,0.08615186567583791
0.023023976976976977,0.08997549384456245
0.024024975975975978,0.09379110602131903
0.025025974974974975,0.0975987022061076
0.026026973973973973,0.10139828239892822
0.027027972972972974,0.10518984659978087
0.02802897197197197,0.10897339480866552
0.029029970970970972,0.11274892702558222
0.03003096996996997,0.11651644325053093
0.031031968968968968,0.12027594348351166
0.032032967967967965,0.12402742772452441
0.03303396696696697,0.12777089597356922
0.03403496596596597,0.13150634823064603
0.035035964964964965,0.13523378449575485
0.03603696396396396,0.1389532047688957
0.03703796296296296,0.14266460905006859
0.038038961961961965,0.1463679973392735
0.03903996096096096,0.15006336963651043
0.04004095995995996,0.15375072594177938
0.04104195895895896,0.15743006625508033
0.042042957957957955,0.16110139057641334
0.04304395695695696,0.1647646989057784
0.04404495595595596,0.16841999124317542
0.045045954954954955,0.1720672675886045
0.04604695395395395,0.1757065279420656
0.04704795295295295,0.1793377723035587
0.048048951951951954,0.18296100067308385
0.04904995095095095,0.18657621305064104
0.05005094994994995,0.19018340943623022
0.05105194894894895,0.19378258982985141
0.052052947947947945,0.19737375423150466
0.05305394694694695,0.20095690264118996
0.05405494594594595,0.20453203505890724
0.055055944944944944,0.20809915148465657
0.05605694394394394,0.21165825191843787
0.057057942942942946,0.21520933636025125
0.058058941941941944,0.21875240481009664
0.05905994094094094,0.22228745726797403
0.06006093993993994,0.22581449373388346
0.06106193893893894,0.2293335142078249
0.06206293793793794,0.23284451868979844
0.06306393693693693,0.23634750717980388
0.06406493593593593,0.23984247967784142
0.06506593493493494,0.24332943618391104
0.06606693393393394,0.24680837669801262
0.06706793293293294,0.2502793012201462
0.06806893193193193,0.2537422097503118
0.06906993093093093,0.25719710228850945
0.07007092992992993,0.2606439788347391
0.07107192892892893,0.2640828393890008
0.07207292792792792,0.26751368395129455
0.07307392692692692,0.27093651252162027
0.07407492592592592,0.27435132509997806
0.07507592492492493,0.2777581216863679
0.07607692392392393,0.2811569022807897
0.07707792292292293,0.2845476668832435
0.07807892192192192,0.28793041549372933
0.07907992092092092,0.2913051481122473
0.08008091991991992,0.2946718647387972
0.08108191891891892,0.29803056537337913
0.08208291791791791,0.30138125001599303
0.08308391691691691,0.304723918666639
0.08408491591591592,0.3080585713253171
0.08508591491491492,0.3113852079920271
0.08608691391391392,0.31470382866676916
0.08708791291291292,0.31801443334954327
0.08808891191191191,0.32131702204034934
0.08908991091091091,0.3246115947391875
0.09009090990990991,0.32789815144605766
0.0910919089089089,0.3311766921609598
0.0920929079079079,0.334447216883894
0.0930939069069069,0.33770972561486023
0.09409490590590591,0.34096421835385854
0.09509590490490491,0.34421069510088875
0.09609690390390391,0.3474491558559511
0.0970979029029029,0.3506796006190454
0.0980989019019019,0.3539020293901717
0.0990999009009009,0.3571164421693301
0.1001008998998999,0.3603228389565205
0.1011018988988989,0.36352121975174295
0.10210289789789789,0.3667115845549973
0.10310389689689689,0.3698939333662838
0.1041048958958959,0.37306826618560235
0.1051058948948949,0.3762345830129528
0.1061068938938939,0.37939288384833536
0.1071078928928929,0.38254316869175
0.10810889189189189,0.3856854375431965
0.10910989089089089,0.38881969040267506
0.11011088988988989,0.39194592727018573
0.11111188888888889,0.3950641481457284
0.11211288788788788,0.39817435302930304
0.11311388688688688,0.4012765419209098
0.11411488588588589,0.40437071482054854
0.11511588488488489,0.4074568717282193
0.11611688388388389,0.4105350126439221
0.11711788288288288,0.4136051375676569
0.11811888188188188,0.4166672464994237
0.11911988088088088,0.4197213394392225
0.12012087987987988,0.4227674163870534
0.12112187887887887,0.4258054773429163
0.12212287787787787,0.4288355223068112
0.12312387687687688,0.4318575512787382
0.12412487587587588,0.4348715642586971
0.12512587487487487,0.4378775612466881
0.12612687387387386,0.4408755422427111
0.12712787287287286,0.44386550724676616
0.12812887187187189,0.4468474562588533
0.12912987087087088,0.44982138927897236
0.13013086986986988,0.4527873063071235
0.13113186886886888,0.4557452073433066
0.13213286786786788,0.4586950923875218
0.13313386686686687,0.461636961439769
0.13413486586586587,0.46457081450004817
0.13513586486486487,0.46749665156835946
0.13613686386386387,0.4704144726447026
0.13713786286286286,0.4733242777290779
0.13813886186186186,0.4762260668214852
0.13913986086086086,0.4791198399219246
0.14014085985985986,0.48200559703039597
0.14114185885885885,0.48488333814689927
0.14214285785785785,0.48775306327143464
0.14314385685685685,0.49061477240400214
0.14414485585585585,0.49346846554460155
0.14514585485485484,0.4963141426932331
0.14614685385385384,0.4991518038498965
0.14714785285285284,0.5019814490145921
0.14814885185185186,0.5048030781873197
0.14914985085085086,0.5076166913680792
0.15015084984984986,0.5104222885568709
0.15115184884884886,0.5132198697536944
0.15215284784784786,0.51600943495855
0.15315384684684685,0.5187909841714378
0.15415484584584585,0.5215645173923574
