,tvals,phi_max,phi_min,phi_avg,energy_vals
0,0.0,0.5099989080446218,0.4900001499891103,0.49994806164764977,323.9855560819074
1,0.1,0.502452447776339,0.49737763490507614,0.5000179868865735,322.74110834766407
2,0.2,0.5022209265161945,0.4971945387141404,0.500017473841028,322.7407752148296
3,0.30000000000000004,0.5021866205910914,0.49708280300686536,0.5000170926240703,322.7406666437673
4,0.4,0.5022573332752498,0.49697153384513515,0.50001671344198,322.7405764174216
5,0.5,0.5023858378040522,0.49682388642831127,0.5000163078956404,322.7404800599441
6,0.6000000000000001,0.5025409877753011,0.49664742445736304,0.500015860130143,322.7403699011848
7,0.7000000000000001,0.502727964510991,0.49644022168431035,0.5000153607093835,322.740241164845
8,0.8,0.5029310982878655,0.4962002651639431,0.5000148035682128,322.7400893205242
9,0.9,0.5031488404151917,0.4959255666147306,0.5000141840041272,322.739909322636
10,1.0,0.5033934080443169,0.49558460593316295,0.5000134976132652,322.73969524917595
11,1.1,0.5036566595625687,0.49520765619702245,0.5000127397806368,322.7394400198707
12,1.2000000000000002,0.5039397061041736,0.4948041923441241,0.5000119054390246,322.73913510550835
13,1.3,0.5042446362530132,0.49437174688256125,0.5000109889453157,322.73877019414635
14,1.4000000000000001,0.5045737210716312,0.49390770579072,0.5000099840029868,322.7383327931026
15,1.5,0.5049452834256026,0.49340132457461044,0.5000088835993761,322.7378077478029
16,1.6,0.5054004934922526,0.49280139660169536,0.5000076799446851,322.73717665685973
17,1.7000000000000002,0.5059177350294034,0.49213775068018173,0.5000063644064446,322.7364171592278
18,1.8,0.5064859277054469,0.4914043820237866,0.5000049274367909,322.73550206436533
19,1.9000000000000001,0.5071103320047607,0.4905946066536561,0.5000033584915456,322.73439829009
20,2.0,0.507796765367183,0.489701002026195,0.5000016459402258,322.73306556504207
21,2.1,0.5085516619287167,0.4887153395835011,0.49999977696568115,322.7314548430643
22,2.2,0.509382138777182,0.4876281473083654,0.49999773745256443,322.7295063651425
23,2.3000000000000003,0.5103494640515156,0.48641034708242137,0.49999551186453334,322.7271472901414
24,2.4000000000000004,0.5114611886410958,0.48506626539847214,0.4999930831080858,322.7242887980721
25,2.5,0.5126880367817901,0.4835830649066299,0.4999904323828727,322.72082254816974
26,2.6,0.5140421159622379,0.4819465643420473,0.49998753901669823,322.71661634801376
27,2.7,0.515536783910314,0.4801411068826015,0.4999843802847068,322.71150885803667
28,2.8000000000000003,0.5171867783068559,0.478149416154282,0.4999809312108978,322.7053031171889
29,2.9000000000000004,0.5190083586281492,0.47595243960893224,0.49997716435181405,322.69775862852737
30,3.0,0.5210194604507095,0.47352917874566824,0.499973049560218,322.6885816868014
31,3.1,0.5232398634175358,0.47085650640664084,0.4999685537291412,322.6774135615197
32,3.2,0.5256937391620539,0.4679089715989743,0.49996364051503484,322.6638160667844
33,3.3000000000000003,0.52841747875983,0.464658592954852,0.4999582700403892,322.64725395064886
34,3.4000000000000004,0.5314251616732402,0.4610746431164908,0.49995239857664436,322.62707342012294
35,3.5,0.5347461990381923,0.45712342724422605,0.4999459782091886,322.60247598025467
36,3.6,0.5384129219949694,0.4527680612057713,0.4999389564876364,322.5724866057776
37,3.7,0.5424608251410853,0.44796825708479715,0.49993127606732884,322.5359150803084
38,3.8000000000000003,0.5469288121604753,0.4426801274906772,0.4999228743504231,322.49130913221006
39,3.9000000000000004,0.5518594356400298,0.4368560242310454,0.49991368313821843,322.436897772232
40,4.0,0.5572991197006245,0.43044388591090477,0.49990362831346363,322.37052300506036
41,4.1000000000000005,0.5632983489352298,0.4232962489271672,0.4998926295769015,322.28955786374166
42,4.2,0.5699118005980852,0.4154297661255212,0.49988060027211656,322.1908085324567
43,4.3,0.5771983883895231,0.40677970775545536,0.49986744734497907,322.07039823070846
44,4.4,0.5852211749041749,0.3972782744112275,0.4998530714993365,321.92363060999224
45,4.5,0.594047094410392,0.38685552468243256,0.49983736763018966,321.7448307824851
46,4.6000000000000005,0.6037464095071776,0.375440790495615,0.4998202256382279,321.5271629378383
47,4.7,0.6143918006255262,0.3629647364225877,0.4998015317589213,321.2624250640867
48,4.800000000000001,0.6260569588230247,0.3493622523940781,0.4997811705683521,320.94082392071357
49,4.9,0.638814518450337,0.3345764006195765,0.4997590278603015,320.55073758168214
50,5.0,0.6527331278711437,0.31856365836132633,0.49973499461323334,320.0784791513139
51,5.1000000000000005,0.6678734198770986,0.30130069554184946,0.49970897227661687,319.50808431152876
52,5.2,0.6842826123873017,0.28279287431459543,0.49968087958189444,318.8211578164361
53,5.300000000000001,0.7019874601700995,0.26308452987811975,0.4996506610036041,317.99683027384526
54,5.4,0.7209853203569446,0.24227079820050332,0.49961829680375797,317.0118961628573
55,5.5,0.7412331918325752,0.2205103691362694,0.49958381430229404,315.84122543800396
56,5.6000000000000005,0.762634859726279,0.19803774162089616,0.49954729945502624,314.4585598324444
57,5.7,0.7850267068830002,0.17517264698947166,0.4995089071076367,312.83781366048674
58,5.800000000000001,0.8081634958709586,0.1523230647087017,0.49946886733901996,310.95498511670974
59,5.9,0.8317065075014949,0.129977119734814,0.4994274843303687,308.79073175222004
60,6.0,0.8552178432603592,0.10867863882748496,0.499385123589422,306.3335563837766
61,6.1000000000000005,0.8781662838446592,0.08898234260504419,0.49934218385376333,303.5833785637707
62,6.2,0.899951267121871,0.07138898050687031,0.4992990525355444,300.5550447456819
63,6.300000000000001,0.9199511510879396,0.055154756808605196,0.4992560491764641,297.28110625048777
64,6.4,0.9375981227367246,0.04144323862208845,0.4992133690754483,293.8130564656628
