,tvals,phi_max,phi_min,phi_avg,energy_vals
194,4.8500000000000005,0.5283070749750395,0.4708828266801845,0.5000339907174035,322.67193748698685
195,4.875,0.5289884190526724,0.4701626357171031,0.5000340674465061,322.66855659562276
196,4.9,0.5296862492176946,0.46942439931327873,0.5000341461953929,322.6650096437451
197,4.925000000000001,0.5304009614085762,0.4686673914078875,0.5000342270168107,322.66128845132994
198,4.95,0.5311329607399178,0.4678918324779143,0.5000343099649145,322.65738443533456
199,4.9750000000000005,0.5318826616879533,0.4670972744352163,0.5000343950953068,322.65328858999965
200,5.0,0.5326504882776387,0.4662832588314705,0.5000344824650794,322.6489914662082
201,5.025,0.5334368742711421,0.4654493166551025,0.5000345721328576,322.6444831495246
202,5.050000000000001,0.5342422633575348,0.46459496812718165,0.5000346641588442,322.639753237713
203,5.075,0.5350671093434569,0.4637197224965543,0.500034758604866,322.63479081669976
204,5.1000000000000005,0.5359118763445083,0.46282307783451615,0.5000348555344223,322.62958443567976
205,5.125,0.5367770389770928,0.46190452082935773,0.5000349550127343,322.6241220807444
206,5.15,0.5376630825504097,0.46096352658114625,0.5000350571067967,322.6183911476643
207,5.175000000000001,0.5385705032582628,0.4599995583971465,0.5000351618854311,322.6123784129465
208,5.2,0.5394998083703211,0.4590120675883215,0.5000352694193413,322.6060700037488
209,5.2250000000000005,0.5404515164224304,0.458000493267393,0.5000353797811716,322.5994513663302
210,5.25,0.5414261574055399,0.4569642621489911,0.5000354930455659,322.5925072329092
211,5.275,0.5424242729527653,0.45590278835246606,0.5000356092892292,322.58522158713873
212,5.300000000000001,0.5434464165240669,0.45481547320799093,0.5000357285909934,322.5775776278285
213,5.325,0.5444931535879745,0.45370170506663826,0.5000358510318834,322.5695577308838
214,5.3500000000000005,0.5455650617997417,0.45256085911517313,0.500035976695186,322.5611434096744
215,5.375,0.546662731175258,0.4513922971963714,0.5000361056665239,322.5523152732918
216,5.4,0.5477867642599864,0.45019536763573964,0.5000362380339302,322.54305298324454
217,5.425000000000001,0.5489377762921385,0.44896940507558847,0.5000363738879268,322.5333352076483
218,5.45,0.5501163953592254,0.4477137303174898,0.5000365133216067,322.5231395737338
219,5.4750000000000005,0.5513232625470584,0.4464276501742352,0.500036656430718,322.51244261800514
220,5.5,0.5525590320801914,0.44511045733250193,0.5000368033137553,322.5012197339937
221,5.525,0.5538243714527197,0.44376143022753295,0.5000369540720484,322.48944511777097
222,5.550000000000001,0.5551199615482609,0.44237983293124106,0.5000371088098631,322.47709171121954
